"","stars","text","sentiment"
"1",2,"Drinks were great as was the bartender.  Then there was the bar food. Had to return the calamari it was so bad.  Like eating a rubber band.  Brought us a second plate...it was worse than the first.  Tacos were extremely seasoned with hot sauce. What happened to this place? I used to love it and now the restaurant is empty. Sad.",-1
"2",1,"I would give this zero stars if that was an option. Awful customer service I ordered calamari and it was the worse calamari EVER. Half wasn't cooked there were deep fried pepperoncini I in it which was un eatable and so fried it looked like a shell of some sort. The calamari it's self was rubbery and half wasn't even cooked. When I took it back the waitress she didn't even come greet me she just said everyone loves pepperoncini. Listen to all these one stars reviews they are correct, I tried to give it a shot and it sucked.",-1
"3",1,"Filthy n terrible customer service. I stood there for almost 10 min waiting for my cup for my drink. Never again! I had no where to eat because of no clean tables.",-1
"4",1,"Rating: 0.5/5 

I had high hopes for this place, especially after seeing its Zagat rating, but don't be fooled by it! After trying it out, however, I feel compelled to add some truth to these hyped-up reviews here on Yelp. 

1. Wait: We made a reservation for 8pm and arrived promptly and on-time. We were greeted by a hostess that told us ""I'm sorry, but the patrons at your table are still finishing up their conversation"", then proceeded to make us wait for an extra 20 minutes. Wow. Seriously. Wow. I've been to many high-end places all over the country and I don't think I've ever experienced a level of pretentiousness and wanna-be ness as Uchiko. A reservation means I get to sit down at the table immediately as I have called ahead of time to serve a place. And please don't use that phrase ""finish up a conversation"", it just makes your establishment disgustingly and nauseatingly smug. If there's anything I hate, it's people who don't value other people's time. It's extremely inconsiderate and unprofessional. 

2. Once we finally got a table, our waitress took quite a while to come back to us. Water / was not even offered until 15 minutes after we were handed menus and greeted. 

3. Menu: Where do I start on this atrocity? The menu was poorly written and designed. Just a list of ingredients that go into the dishes with no explanation of the type of dishes (appetizer, tapas, etc.) whatsoever an what the dishes mean. I get the feeling that whoever made it intended it to be minimalist, cool and trendy, but having 3 separate menu pieces that are badly explained and disjointed was a very frustrating experience. Having an unattentive waiter didn't help either. When she finally came over, she basically had to describe everything on the menu and did not do a very good job of articulating the differences between each one. Case in point: everything becomes more pleasurable and efficient when you take the time to describe the menu for your guests, not slap together some sparse- looking white pages that were clearly designed to just look beautiful but are pretty much useless from a utilitarian standpoint. 

4. Atmosphere: Loud, dark, rather chaotic and busy. Made me feel like I was eating in a mess hall. Felt like a place where you go to be seen, rather than a place to enjoy truly good food. 

5. Meal: The biggest shocker. Overall, quite mediocre. I don't mind paying a lot for tiny portions when they are absolutely and stunningly delicious. I paid $20 for just a piece of mackerel smaller than the size of my palm that tasted bland and fishy. In Japan, mackerels are one of the cheapest fishes available. Got the $20 seabass,again, with high hopes but it tasted even worse than the mackerel. Rolls were nothing to shout about for the price and quantity offered. There wasn't even miso soup on the menu. I get that this restaurant is trying to offer a new spin on Japanese, but I suspect that the only reason why it wasn't on the menu was because they couldn't charge $10 for it. The thing we disliked the least was the fried eggplant slices, which require no skill to make. Confusion runs rampant among the staff. They kept bringing us dishes we didn't even order and we had to send back 3 dishes to the kitchen. For the hefty price we paid, we were completely unimpressed with the below average food, slow and bad service and were left hungry after our meal, which took 2 hours to finish. 

Conclusion: Do not go! Extremely turned off by the vibe and hype surrounding it, pretentious, smug service, lack of respect for my time and mediocre food.",-1
"5",2,"Waited over 30 minutes for my free birthday pizza on July 29th, 2016 in the afternoon after getting salad and soda. I saw a small cardboard box sitting on an inactive heating tray. I said it must be mine and got it. Angry that no one said my name at all while waiting all that time and left with my full bags.",-1
"6",2,"Called in my pizza order an hour ago...  I'm still waiting for it. .  Guy is super nice but they need extra help.",-1
"7",2,"Not ready for prime time.
Five baristas and I still waited eight minutes to have an order taken, only one other customer in the shop.
Had to, of course go back and inquire about the croissant and wait again.
Tables were covered in debris and crumbs even though, five people and now only three customers. Just too busy I guess at 8:50 in the morning.
They need to fire everyone and start over.",-1
"8",1,"Service is pretty terrible, or better yet non-existent at this location. I came here during a busy time and b-lined to the garden section as I wanted to pick up some succulents to put something together. 

I walked aimlessly up and down, and up and down the whole garden area looking for succulents or anyone wearing an orange apron.  I eventually found some succulents but they were too mature for my liking.  I went up to the cashier area to ask for help - if they had more or other succulents and the cashier couldn't help me and told me to look for someone in the garden department. 

Again, went back to the garden department and didn't see any orange.  I ended up leaving feeling pretty deflated and empty handed.  That sucked and was a waste of time.",-1
"9",2,"Almost everything was way too salty. I wish I'd read reviews here first--clearly we are not the only ones who couldn't handle the salt factor. 

If the salt were balanced, it might make 4 stars -- I give them credit for inventiveness and presentation, I didn't find it overly expensive (for a fancy-pants place), and the service was good. That being said, we didn't find anything that we found inspiring....",-1
"10",2,"The south end whole food has been disappointing to say the least. I have been there four times. They are a bit better organized now but there is much to improve. The produce department needs to put their act together. Three people tried to help me find Arugula and could not! Very unhelpful and disorganized. Overall lack of courtesy and a could not care less attitude. Went to the meat department and asked for organic chicken tenders. If it is not there we do not have it. There is no desire to help or get the item for you. On the contrary I went to a new grocery store in downtown,the day of their opening .What a contrast! Personnel standing at different isles trying to help. A well organized family owned store who care for their customers. Since I live in downtown, it is convenient for me to use the South end Whole Foods. However I will go there less and less and spend my money somewhere , where they care for their customers.",-1
"11",1,"Is this business, still in business? I've called and left a message twice and they don't call back.",-1
"12",1,"Disgusting is the first word that pops to mind for this place. I don't even know what i was thinking when I decided to step foot into this place. It's dirty with cockroaches everywhere. I felt like i won the lottery when the first seat we took and a freaking roach crawled up on the wall next to us. Barf much?! Should have been a sign to get up and leave. But my brain was no longer functioning and it was my stomach calling the shots. But once brain took over we got up to leave but by then we finished half our food and felt disgusted. 

I just don't know why in the world I didn't even look at the reviews when checking into this place. Stupid stomach. My brain is gonna call all the shots from now on.",-1
"13",1,"This is the worst HEB in Austin. Management is horrible, always out of stock, fish area smells rotten and no meat department.",-1
"14",1,"sorry. never again. I use to come here often because we live in the neighborhood, but my girlfriend got a sandwich there one day, and we discovered mold on the cheese. never again will I come back here. As a microbiology major, mold on hard cheeses like that run the risk of listeria, brucella, salmonella and E. coli. how long was that cheese open? it has to be refrigerated when not in use right? I have the same cheese in my refrigerator that i have had for three weeks and it doesn't have any mold on it. makes me wonder what the bakery looks like. 

i wasn't a fan of the coffee nor the smell of some of the clientele either...",-1
"15",1,"Just a quick review about this place. When we arrived into Orlando our friends had heard great things about Ravenouse Pig. We made reservations to eat here right after landing. Parking is VERY limited, in fact, it's valet unless you can snag one of 8 spaces in the lot.

We started off at the bar since we arrived early. Selections of popular dishes passed us during the early part of the evening.  Once such appetizing item was their Pretzel Bread taleggio fondue: gruyere-chive biscuit/smoked salt butter . We were excited to try this dish once we met up with our friends for dinner. We ordered a few drinks at the bar including a special made lemon drop martini.

Once seated, the 'stars' started falling off my review. Our server was friendly but oh SO slow. We ordered the Pretzel Bread appetizer only to be told at 7:30pm on a Saturday evening that they RAN OUT. Our server provided us with some 'complimentary nuggets of bread'.  There were no full pieces just small bits of bread.  No refills were offered. The name of the place encouraged us to order the Pork Porterhouse, but guess what they RAN OUT.  We were all confused because the name suggests 'pork'.  I ended up with the Steak Frites while others ordered the Short Ribs and Tacos.  The food was good but not what we expected.

Service definitely was lacking. Again, our server was friendly but offered to no sense of urgency to anything.  The entire experience lasted close to 3.5 hours.  I'd re-think driving outside of Orlando if I came to visit again.",-1
"16",1,"Service was less than par! Waited for like 10 mins for the host then went to the bar to ask for one she came to said oh go where ever you want so we sat at the bar . The bartender seemed uninterested that we were there and wanted to have food and drinks . Food arrived and was great. No follow up on food  and waited over 20 mins to finally be asked if we wanted a drink and we then asked for the check ! Two people ended up don't it  not our original server. They come to ask us what we had then rings it up. We get the checks and as she is walking off ""not looking"" at us mumbles have a good night!


Very unimpressed with the visit and will take a lot to get me to return!",-1
"17",2,"I think that if you want authentic Mexican food, you should go elsewhere. If you want  Tex mex, you should also go elsewhere.. unfortunately it just wasn't good.. but they have good drinks. So I gave them a few stars.",-1
"18",1,"Not sure how these guys got my number but I've been receiving robocalls from them for over a year now. I've asked them to stop calling me and reported it to the do not call registry. I have no idea how to get these to stop.",-1
"19",2,"All I tried was a chocolate nutella croissant, and I wasn't nearly as into it as other reviewers. Mainly because it was almost $3 w/ tax and the croissant was dense and soggy. I have a feeling I got stuck with one that had been sitting out for a few days and/or weeks. Sad times! 

On the plus side, the list of menu items above the counter is both aesthetically pleasing and easy to navigate. So it's got that going for it, which is nice.",-1
"20",2,"I've been to Crave about 6 or 7 times now. Every time my GF and I leave, we can't help but ask ""Why did we come here again?"" Well, the only reasons why we hesitantly return is because they're open late and they're right in the heart of the drag. Their Pad Thai is good, but their sushi is mediocre. Their service is pretty bad too. Sometimes a hostess will be at the front door to seat you, sometimes not. One time a party of about 8 people waited around, sat themselves, then waited to be helped, and then left because not a single waiter came by. One good thing is if you have that UT Discount Card to get free sake, but that's about it. If you're looking for sushi close to campus, I'd suggest Sushi Nichii or for a happy hour - Kyoto.",-1
"21",2,"I was here last week after work for bubble tea craving. I've previously had wonderful experience at Metrotown location and expected the same at Aberdeen location as well. 

The staff I talked to wasn't too helpful when I asked about flavours. Could be language barrier too, I think. I asked for recommendations to staff and she seemed to have no idea what's good. I ordered Oolong Milk Tea for $3.80 (medium) and it was okay. I ordered half sugar with less ice by the way. My drink tastasted bland and bit too watery. Felt like waste of money. Going to stick to Metrotown one instead.",-1
"22",1,"Horrible service, dirty menus with food all over them, we are non smokers, everyone around us was smoking...",-1
"23",1,"They close at 10pm on a Saturday. Service was absolutely insulting. I wouldn't recommend going to this place even if the food was good. 0 out of 5 stars.",-1
"24",1,"Usually we love this place and the ice cream here... we get birthday cakes once in a while as well, but this last one we went in to get a cake, it was HORRIBLE!!! The cake tasted like freezer burn and we couldn't eat it.  We were so sad, especially my 3 year old (it was his birthday cake).
It was so bad that he took a bite and wanted nothing to do with it.... this is a kid who loves ice cream. 
Very Disappointed in this last experience and a waste of money as we had to toss it.",-1
